Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
SAUG,755,0,0.00,0,0.00,20.39,755,0
IVAL,747,0,0.00,0,0.00,24.51,747,0
BUFB,741,0,0.00,0,0.00,26.50,741,0
ADME,720,0,0.00,0,0.00,36.91,720,0
TILT,710,0,0.00,0,0.00,172.57,710,0
UJUL,708,0,0.00,0,0.00,29.10,708,0
PTEU,707,0,0.00,0,0.00,26.20,707,0
FPFD,703,0,0.00,0,0.00,20.12,703,0
FFTG,702,0,0.00,0,0.00,24.52,702,0
MDLV,701,0,0.00,0,0.00,23.99,701,0
OSCV,671,0,0.00,0,0.00,32.44,671,0
BAUG,654,0,0.00,0,0.00,34.28,654,0
TYA,649,0,0.00,0,0.00,13.77,649,0
VCEB,639,0,0.00,0,0.00,60.71,639,0
IBHC,636,0,0.00,0,0.00,23.58,636,0
IQM,635,0,0.00,0,0.00,47.63,635,0
DDWM,620,0,0.00,0,0.00,31.20,620,0
CSM,618,0,0.00,0,0.00,51.49,618,0
HEEM,612,0,0.00,0,0.00,24.51,512,100
BUFG,607,0,0.00,0,0.00,20.40,607,0
FFHG,603,0,0.00,0,0.00,33.17,603,0
INTL,602,0,0.00,0,0.00,20.82,602,0
IGRO,589,0,0.00,0,0.00,61.74,589,0
AESR,582,0,0.00,0,0.00,12.90,582,0
GVAL,567,0,0.00,0,0.00,20.27,567,0
DFEB,543,0,0.00,0,0.00,35.81,543,0
JCPI,543,0,0.00,0,0.00,45.79,543,0
DURA,541,0,0.00,0,0.00,31.52,541,0
EFAD,540,0,0.00,0,0.00,36.90,540,0
TMFM,536,0,0.00,0,0.00,24.73,536,0
KRUZ,535,0,0.00,0,0.00,26.00,535,0
FMAG,534,0,0.00,0,0.00,22.51,534,0
VOTE,528,0,0.00,0,0.00,52.54,528,0
FRNW,527,0,0.00,0,0.00,17.77,427,100
NULC,527,0,0.00,0,0.00,37.26,527,0
VFMF,520,0,0.00,0,0.00,108.16,520,0
ROMO,501,0,0.00,0,0.00,26.01,501,0
PBTP,500,0,0.00,0,0.00,24.62,500,0
QVOY,500,0,0.00,0,0.00,28.11,500,0
BUFQ,488,0,0.00,0,0.00,25.56,488,0
XAUG,486,0,0.00,0,0.00,30.18,486,0
ESG,450,0,0.00,0,0.00,110.34,450,0
PJUL,450,0,0.00,0,0.00,34.67,375,75
IBMN,449,0,0.00,0,0.00,26.25,449,0
HYHG,447,0,0.00,0,0.00,61.64,447,0
XJH,437,0,0.00,0,0.00,36.32,437,0
USMF,423,0,0.00,0,0.00,39.54,423,0
KWT,414,0,0.00,0,0.00,31.66,414,0
BFEB,411,0,0.00,0,0.00,34.67,411,0
DIVB,410,0,0.00,0,0.00,39.23,389,21
TAIL,406,0,0.00,0,0.00,13.12,406,0
QTJA,402,0,0.00,0,0.00,20.66,402,0
MPRO,399,0,0.00,0,0.00,25.49,399,0
PSDM,399,0,0.00,0,0.00,50.21,399,0
